منابع عمومی دولت-درآمد ها-درآمد های حاصل از مالکیت دولت-سود سهام شرکتهای دولتی-سود سهام ابرازی کلیه شرکتهای دولتی130101,105627980
منابع عمومی دولت-درآمد ها-درآمد های حاصل از مالکیت دولت-سود سهام شرکتهای دولتی-سود سهام معوقه شرکتهای دولتی130105,49372020
منابع عمومی دولت-درآمد ها-درآمد های حاصل از مالکیت دولت-سود سهام شرکتهای دولتی-سود سهام شرکتهای با سهم دولتی کمتر از پنجاه درصد130108,5000000
منابع عمومی دولت-درآمد ها-درآمد های حاصل از مالکیت دولت-درآمدهای حاصل از اجاره-درآمدهای خاصل از اجاره ساختمانها و اراضی 130301,3135020
منابع عمومی دولت-درآمد ها-درآمد های حاصل از مالکیت دولت-سایر درآمدهای حاصل از مالکیت دولت-درآمد حاصل از مالكيت دولت در بخش ارتباطات و فناوري اطلاعات / حق امتياز شبكه و جریمه عدم انجام تعهدات130404,55440000
منابع عمومی دولت-درآمد ها-درآمد های حاصل از مالکیت دولت-سایر درآمدهای حاصل از مالکیت دولت-نيم درصد درآمد مشمول ماليات بانكهاي كشور موضوع ( قانون تهيه مسكن براي افراد کم درآمد)130405,300000
منابع عمومی دولت-درآمد ها-درآمد های حاصل از مالکیت دولت-سایر درآمدهای حاصل از مالکیت دولت-درآمد حاصل از بهره مالکانه و خقوق دولتی معادن130408,10500000
منابع عمومی دولت-درآمد ها-درآمد های حاصل از مالکیت دولت-سایر درآمدهای حاصل از مالکیت دولت-درآمد حاصل از خدمات عمومی اجباری روستایی130412,2060000
منابع عمومی دولت-درآمد ها-درآمد های حاصل از مالکیت دولت-سایر درآمدهای حاصل از مالکیت دولت-درآمد حاصل از نامبرینگ (شماره گذاری مخابراتی )130413,2000000
منابع عمومی دولت-درآمد ها-درآمد های حاصل از مالکیت دولت-سایر درآمدهای حاصل از مالکیت دولت-درآمد حاصل از حق السهم سازمان130414,500000
منابع عمومی دولت-درآمد ها-درآمد های حاصل از مالکیت دولت-سایر درآمدهای حاصل از مالکیت دولت-درآمد حاصل از فعالیت های نظام تایید صلاحیت130415,50000
منابع عمومی دولت-درآمد ها-درآمد های حاصل از مالکیت دولت-سایر درآمدهای حاصل از مالکیت دولت-درآمد خاصل از بهره مالکانه و حق بهره برداری طرح های منابع طبیعی و انتفاع و تغییر نمایندگی اراضی ملی و دولتی130416,1000000
منابع عمومی دولت-درآمد ها-درآمد های حاصل از مالکیت دولت-سایر درآمدهای حاصل از مالکیت دولت-درآمد حاصل از تبصره های ۲ و ۳ ماده ۶ قانون اصلاح قانون معادن130418,150000
منابع عمومی دولت-درآمد ها-درآمد های حاصل از مالکیت دولت-سایر درآمدهای حاصل از مالکیت دولت-درآمد حاصل از حق مالکیت دولت در بخش ارتباطات و فناوری اطلاعات / مجوزهای صادر شده توسط شورای عالی فضای مجازی130420,50000
منابع عمومی دولت-درآمد ها-درآمد های حاصل از مالکیت دولت-سایر درآمدهای حاصل از مالکیت دولت-درآمد وزارت صنعت ، معدن و تجارت بابت حقوق انحصار و صدور مجوز توزیع محصولات دخانی130421,1000000
منابع عمومی دولت-درآمد ها-درآمد های حاصل از مالکیت دولت-سایر درآمدهای حاصل از مالکیت دولت-درآمد حاصل از فروش تمام نگاشت (هولوگرام) حامل های دیجیتال130422,30000
